ticker,debtToEquity(%),currentRatio(%),ROE(%),Runway(Years),TotalCash(M$),FreeCashflow(M$),OperatingCashflow(M$),NetIncome(M$),PBR,BPS($),lastUpdated
FLR,20.471,144.6,88.9,inf,2829.0,298.75,306.0,3385.0,1.37,32.18,2026-01-20 21:23:14
ACM,124.795,113.5,28.09,inf,1594.74,565.55,821.6,638.26,5.19,18.91,2026-01-20 21:23:15
J,58.069,130.1,6.52,inf,1235.45,811.14,686.7,314.21,4.58,30.57,2026-01-20 21:23:16
STRL,33.106,99.6,36.92,inf,306.4,157.39,428.21,315.77,10.25,34.23,2026-01-20 21:23:17
FER,135.106,94.3,53.86,48.88,2835.0,-58.0,1468.0,3347.0,7.16,9.53,2026-01-20 21:23:18
PLTR,3.52,642.7,19.5,inf,6437.82,1180.16,1817.51,1095.37,61.83,2.77,2026-01-20 21:23:19
CRM,19.385,98.4,12.18,inf,11323.0,14523.75,13502.0,7222.0,3.56,63.72,2026-01-20 21:23:20
APP,238.274,325.0,241.89,inf,1666.9,2517.53,3402.74,2916.34,130.63,4.35,2026-01-20 21:23:20
DDOG,37.199,366.3,3.52,inf,4140.34,838.5,988.29,106.77,12.13,9.81,2026-01-20 21:23:21
FIG,4.41,296.2,,,1577.53,,283.89,-926.1,10.49,2.82,2026-01-20 21:23:22
PATH,4.261,265.4,12.56,inf,1398.19,420.57,334.94,229.66,3.98,3.6,2026-01-20 21:23:23
SYM,6.556,109.3,-20.85,inf,1244.99,785.53,866.94,-16.94,34.31,1.97,2026-01-20 21:23:24
NBIS,94.974,656.6,2.97,2.32,4794.8,-2063.25,-524.1,114.2,5.69,19.11,2026-01-20 21:23:25
IREN,33.574,551.6,26.12,1.08,1032.26,-957.13,392.15,523.26,5.69,10.17,2026-01-20 21:23:26
CRWV,485.032,48.7,-29.17,0.28,1941.85,-6951.6,1685.78,-824.73,12.98,7.79,2026-01-20 21:23:27
PLUG,66.156,132.0,-93.85,0.61,165.9,-270.11,-518.43,-2121.05,2.0,1.18,2026-01-20 21:23:27
APD,106.228,138.1,-1.92,0.28,1869.1,-6595.55,3256.8,-386.5,3.96,67.5,2026-01-20 21:23:28
LIN,64.673,82.3,17.98,inf,4509.0,3498.37,10129.0,7093.0,5.31,82.7,2026-01-20 21:23:29
CF,44.133,227.3,21.97,inf,1838.0,1361.75,2633.0,1379.0,2.82,30.75,2026-01-20 21:23:30
BLDP,3.718,833.4,-18.07,8.13,527.85,-64.94,-92.0,-119.86,1.38,2.02,2026-01-20 21:23:31
FCEL,18.126,663.1,-26.24,6.27,278.1,-44.37,-125.29,-191.1,0.56,14.39,2026-01-20 21:23:32
QS,6.004,2113.8,-38.65,8.61,1003.73,-116.63,-244.98,-449.61,5.21,2.02,2026-01-20 21:23:33
SLDP,2.236,1578.2,-23.63,4.99,251.21,-50.34,-68.87,-96.97,2.79,2.0,2026-01-20 21:23:34
BE,223.775,439.5,2.93,inf,595.05,110.13,180.1,15.27,54.11,2.76,2026-01-20 21:23:34
FLNC,73.997,150.6,-11.76,47.94,690.77,-14.41,-145.54,-48.31,8.27,3.27,2026-01-20 21:23:35
ENS,64.998,276.7,18.19,inf,388.61,287.93,435.27,337.24,3.36,50.09,2026-01-20 21:23:36
EOSE,,182.6,,0.46,58.73,-126.83,-203.61,-1967.65,-2.12,-8.24,2026-01-20 21:23:37
TSLA,17.082,206.6,6.79,inf,41647.0,2979.25,15748.0,5079.0,18.19,24.06,2026-01-20 21:23:38
ENPH,123.979,204.2,20.3,inf,1477.92,141.91,256.25,195.58,4.6,7.6,2026-01-20 21:23:39
ETN,59.661,128.0,20.65,inf,565.0,2315.5,4104.0,3926.0,7.09,48.51,2026-01-20 21:23:39
DUK,170.344,62.9,9.9,0.35,688.0,-1939.25,12049.0,4922.0,1.84,64.9,2026-01-20 21:23:40
GEV,11.101,102.9,16.72,inf,7545.0,2413.63,3429.0,1704.0,21.39,31.87,2026-01-20 21:23:41
NEE,144.161,55.3,8.24,0.18,2391.0,-13650.5,11967.0,6503.0,3.21,26.02,2026-01-20 21:23:42
AES,302.896,72.3,5.11,0.48,1758.0,-3689.87,3906.0,1079.0,2.61,5.43,2026-01-20 21:23:43
CEG,61.51,156.3,19.84,inf,3959.0,3059.0,2416.0,2739.0,6.7,45.95,2026-01-20 21:23:44
SO,192.679,75.5,11.43,1.41,3341.0,-2364.62,9378.0,4459.0,2.8,31.79,2026-01-20 21:23:45
EXC,177.601,93.9,10.31,0.93,1533.0,-1639.75,6436.0,2821.0,1.61,27.83,2026-01-20 21:23:46
TLN,204.765,229.3,10.83,inf,498.0,716.0,434.0,226.0,11.56,32.15,2026-01-20 21:23:46
AEP,152.132,68.6,12.92,0.3,1293.1,-4280.34,6858.2,3662.1,2.11,56.79,2026-01-20 21:23:47
VST,335.784,99.5,17.31,inf,620.0,1847.0,3991.0,960.0,20.64,8.07,2026-01-20 21:23:48
FSLR,9.893,191.0,16.86,inf,2039.92,168.76,1626.21,1400.46,2.9,84.01,2026-01-20 21:23:49
NXT,2.301,217.8,35.45,inf,845.34,489.11,649.37,576.12,7.2,13.38,2026-01-20 21:23:50
XOM,15.672,113.7,11.42,inf,13814.0,17292.75,51520.0,29953.0,2.1,61.79,2026-01-20 21:23:51
CVX,21.239,115.2,7.32,inf,7727.0,15743.88,31845.0,12768.0,1.76,94.28,2026-01-20 21:23:52
MPC,143.175,131.5,18.89,inf,2654.0,1757.75,7391.0,2879.0,3.09,56.8,2026-01-20 21:23:52
SHEL,41.602,135.2,8.15,inf,33053.0,17617.5,46590.0,14631.0,2.45,30.25,2026-01-20 21:23:53
COP,36.169,132.3,15.42,inf,6256.0,6092.5,19935.0,8824.0,1.87,52.54,2026-01-20 21:23:54
OXY,62.221,93.5,5.96,inf,2159.0,3033.13,11254.0,1460.0,1.5,28.39,2026-01-20 21:23:55
DVN,56.274,95.7,18.59,inf,1229.0,2007.0,6841.0,2719.0,1.48,24.4,2026-01-20 21:23:56
VLO,39.561,159.6,5.24,inf,4764.0,3453.75,4839.0,1491.0,2.36,77.88,2026-01-20 21:23:57
VRT,91.598,183.1,38.86,inf,1966.3,532.19,1560.1,1034.2,19.28,9.18,2026-01-20 21:23:58
PWR,71.612,134.4,13.37,inf,610.39,708.26,1814.42,1018.05,8.29,56.3,2026-01-20 21:23:58
CARR,83.159,114.1,9.98,inf,1423.0,2499.75,1605.0,1379.0,3.27,17.19,2026-01-20 21:23:59
HON,215.247,135.8,34.62,inf,13359.0,5684.13,7485.0,6129.0,8.3,26.43,2026-01-20 21:24:00
JCI,86.383,92.9,11.37,inf,379.0,2325.63,1399.0,1721.0,5.42,21.15,2026-01-20 21:24:01
ANET,,325.4,31.74,inf,10106.2,3268.61,4140.93,3356.55,13.73,9.46,2026-01-20 21:24:02
CRDO,1.278,885.8,22.87,inf,813.57,56.17,177.87,211.98,20.96,7.2,2026-01-20 21:24:03
COHR,40.356,232.8,2.72,inf,864.78,334.52,526.58,118.25,5.14,37.15,2026-01-20 21:24:04
ALAB,2.463,1277.9,18.4,inf,1134.43,115.7,263.74,198.86,24.17,7.53,2026-01-20 21:24:04
MRVL,33.988,201.4,18.04,inf,2714.5,1953.6,1890.8,2474.2,4.86,16.56,2026-01-20 21:24:06
SMCI,79.184,539.4,12.79,2777.99,4211.08,-1.52,333.1,792.81,2.99,10.93,2026-01-20 21:24:07
DELL,,85.3,,inf,9569.0,3035.12,7096.0,5210.0,-30.68,-3.93,2026-01-20 21:24:07
HPE,97.265,101.4,0.23,23.63,5046.0,-213.5,2919.0,-59.0,1.14,18.73,2026-01-20 21:24:08
CSCO,63.228,92.7,22.42,inf,15736.0,12406.0,13744.0,10329.0,6.32,11.9,2026-01-20 21:24:09
CIEN,59.608,272.5,4.45,inf,1308.1,667.26,806.09,123.34,12.58,19.36,2026-01-20 21:24:10
ON,45.833,523.1,3.89,inf,2872.5,1275.19,1785.0,319.1,3.09,19.5,2026-01-20 21:24:11
MPWR,0.528,477.1,64.03,inf,1269.48,490.34,900.97,1895.15,13.87,74.48,2026-01-20 21:24:12
VICR,1.167,755.3,13.89,inf,362.38,83.9,133.96,82.27,10.63,14.11,2026-01-20 21:24:13
ASML,14.24,130.8,53.85,inf,5128.2,9320.26,10793.0,9463.2,23.84,57.0,2026-01-20 21:24:13
NVDA,9.102,446.8,107.36,inf,60608.0,53282.87,83159.0,99198.0,38.04,4.89,2026-01-20 21:24:14
MU,21.244,246.0,22.55,inf,10318.0,444.25,22692.0,11909.0,6.95,52.23,2026-01-20 21:24:15
AMD,6.366,230.8,5.32,inf,7243.0,3245.5,6408.0,3131.0,6.21,37.34,2026-01-20 21:24:16
INTC,39.881,160.2,0.19,7.0,30935.0,-4420.87,8574.0,198.0,2.11,22.32,2026-01-20 21:24:17
AVGO,166.032,170.5,31.05,inf,11105.0,25044.13,27537.0,23126.0,5.94,59.22,2026-01-20 21:24:18
TSM,18.187,261.8,35.22,inf,3068593.96,619089.63,2274976.07,1717882.98,51.85,6.6,2026-01-20 21:24:19
LRCX,43.991,220.7,62.26,inf,6693.05,4278.63,6383.76,5810.43,27.54,8.1,2026-01-20 21:24:20
AMAT,34.533,261.0,35.51,inf,8573.0,3653.25,7958.0,6998.0,12.7,25.74,2026-01-20 21:24:20
ADI,26.5,219.0,6.57,inf,3652.32,3904.02,4812.2,2267.34,4.35,69.06,2026-01-20 21:24:21
WOLF,,772.7,,0.44,926.0,-2089.31,-574.0,-1970.6,-0.02,-826.68,2026-01-20 21:24:22
SNPS,50.459,161.5,7.16,inf,2960.96,2170.94,1518.61,1336.12,3.39,152.3,2026-01-20 21:24:23
CDNS,47.685,304.8,21.74,inf,2930.04,1384.1,1616.64,1060.96,16.62,19.1,2026-01-20 21:24:24
AMZN,43.405,100.9,24.33,inf,94197.0,26080.0,130691.0,76482.0,6.91,34.59,2026-01-20 21:24:25
MSFT,33.154,140.1,32.24,inf,102012.0,53327.38,147038.99,104912.0,9.42,48.84,2026-01-20 21:24:25
GOOGL,11.424,174.7,35.45,inf,98496.0,47997.75,151424.01,124251.0,10.3,32.03,2026-01-20 21:24:26
META,26.311,197.8,32.64,inf,44448.0,18617.75,107574.0,58528.0,8.06,76.98,2026-01-20 21:24:27
AAPL,152.411,89.3,171.42,inf,54697.0,78862.25,111482.0,112010.0,51.2,4.99,2026-01-20 21:24:28
